2025-08-29,367616,Copa Colombia,Deportivo Pasto,Once Caldas,1X,1.277,lost,1 - 2
2025-08-29,367135,Premier League,Burundi Sport Dynamik,Aigle Noir Makamba,2,1.2,pending,
2025-08-29,367129,First League,Livyi Bereh Kyiv,Prykarpattia Ivano-Frankivsk,1,1.716,pending,
2025-08-29,367046,Premier League,BKMA,Van,12,1.26,pending,
2025-08-29,367053,Premier League,Naftan Novopolotsk,Isloch Minsk Raion,2,1.627,pending,
2025-08-29,367136,Premier League,Inter Star,Musongati,2,2.0,pending,
2025-08-29,367093,Virsliga,Metta Riga,FK Liepaja,2,1.452,pending,
2025-08-29,367094,Virsliga,Grobinas SC,FS Jelgava,12,1.273,pending,
2025-08-29,367139,Premier League,Al Mokawloon Al Arab,Ceramica Cleopatra,2,1.98,pending,
2025-08-29,367114,First League,Rodina Moskva,Torpedo Moskva,1X,1.325,pending,
2025-08-29,367047,Premier League,Pyunik,Urartu,12,1.268,pending,
2025-08-29,367054,Premier League,FC Gomel,FC Minsk,1X,1.337,pending,
2025-08-29,367148,Stars League,Al-Arabi SC Doha,Umm-Salal SC,1,1.642,pending,
2025-08-29,367121,1. SNL,NK Aluminij Kidricevo,FC Koper,2,1.98,pending,
2025-08-29,367150,Professional League,Al-Hilal Riyadh,Al-Riyadh,1,1.092,pending,
2025-08-29,367048,Second League,First Vienna FC 1894,Austria Lustenau,1X,1.42,pending,
2025-08-29,367068,National League,Vysocina Jihlava,Viktoria Zizkov,1X,1.353,pending,
2025-08-29,367078,Premier Liga,Samgurali Tskhaltubo,Iberia 1999 Tbilisi,2,1.773,pending,
2025-08-29,367107,Ekstraklasa,Arka Gdynia,Wisla Plock,1X,1.428,pending,
2025-08-29,367030,2. Bundesliga,Nurnberg,Paderborn,2,1.997,pending,
2025-08-29,367073,Meistriliiga,FCI Levadia Tallinn,Narva Trans,1,1.424,pending,
2025-08-29,367052,Premier League,Neftchi Baku,Turan Tovuz,1X,1.337,pending,
2025-08-29,367029,2. Bundesliga,Hertha Berlin,Elversberg,12,1.293,pending,
2025-08-29,367060,First PFL,Botev Vratsa,Cherno more Varna,2,1.738,pending,
2025-08-29,367069,Superliga,Vejle,Viborg,12,1.285,pending,
2025-08-29,367112,Liga Portugal 2,Uniao Leiria,Torreense,12,1.307,pending,
2025-08-29,367079,Premier Liga,Dinamo Batumi,Torpedo Kutaisi,12,1.3,pending,
2025-08-29,367072,1st Division,Kolding,Hillerod,12,1.262,pending,
2025-08-29,367071,1st Division,Hvidovre,Hobro IK,1X,1.28,pending,
2025-08-29,367031,3. Liga,Viktoria Koln,Jahn Regensburg,1X,1.418,pending,
2025-08-29,367027,Championnat National,Versailles 78,Villefranche-Beaujolais,1X,1.192,pending,
2025-08-29,367022,Championnat National,Dijon,Paris 13 Atletico,12,1.342,pending,
2025-08-29,367020,Championnat National,Aubagne,Concarneau,1X,1.508,pending,
2025-08-29,367149,Stars League,Al-Shahania SC,Al-Wakrah SC,2,2.05,pending,
2025-08-29,367026,Championnat National,Valenciennes,Rouen,1X,1.24,pending,
2025-08-29,367040,Primera Division,Elche,Levante,12,1.33,pending,
2025-08-29,367021,Championnat National,Chateauroux,Orleans,2,2.132,pending,
2025-08-29,367024,Championnat National,Le Puy Foot 43 Auvergne,Bourg Peronnas,12,1.308,pending,
2025-08-29,367074,Premier League,EB Streymur,NSI Runavik,2,1.178,pending,
2025-08-29,367113,Liga I,Rapid Bucuresti,UTA Arad,1,1.562,pending,
2025-08-29,367122,Challenge League,Stade Nyonnais,Bellinzona,12,1.273,pending,
2025-08-29,366980,Championnat National,ES Setif,JS Saoura,1,1.785,pending,
2025-08-29,367016,Ligue 2,Lavallois,Clermont Foot,1X,1.267,pending,
2025-08-29,367098,Eerste Divisie,ADO Den Haag,Helmond Sport,1,1.502,pending,
2025-08-29,367019,Ligue 2,Red Star Paris,Annecy,1X,1.265,pending,
2025-08-29,367102,Eerste Divisie,Roda JC Kerkrade,FC Eindhoven,12,1.255,pending,
2025-08-29,367103,Eerste Divisie,TOP Oss,FC Dordrecht,2,2.0,pending,
2025-08-29,367015,Ligue 2,Dunkerque,Troyes,12,1.335,pending,
2025-08-29,367018,Ligue 2,Nancy,Pau,12,1.303,pending,
2025-08-29,367082,First Division,Fjolnir Reykjavik,Throttur Reykjavik,2,1.745,pending,
2025-08-29,367100,Eerste Divisie,Jong Ajax,MVV Maastricht,12,1.233,pending,
2025-08-29,367152,Professional League,Al-Taawoun,Al-Nassr Riyadh,2,1.307,pending,
2025-08-29,367151,Professional League,Al-Shabab Riyadh,Al-Khaleej Saihat,1,1.476,pending,
2025-08-29,367104,Eerste Divisie,Willem II Tilburg,Jong FC Utrecht,1,1.362,pending,
2025-08-29,367101,Eerste Divisie,Jong PSV,Jong AZ,12,1.22,pending,
2025-08-29,367140,Premier League,Al Ittihad Alexandria,ENPPI Cairo,1X,1.278,pending,
2025-08-29,367063,Prva HNL,Istra 1961 Pula,HNK Gorica,1,1.72,pending,
2025-08-29,367097,Eredivisie,FC Groningen,Heracles Almelo,1,1.767,pending,
2025-08-29,367083,First Division,IR Reykjavik,Keflavik IF,12,1.21,pending,
2025-08-29,367099,Eerste Divisie,FC Emmen,FC Den Bosch,12,1.28,pending,
2025-08-29,367014,Ligue 2,Rodez AF,Boulogne,1,1.79,pending,
2025-08-29,367123,Challenge League,Rapperswil-Jona,Aarau,2,1.965,pending,
2025-08-29,367034,Serie B,Reggiana 1919,Empoli,2,2.242,pending,
2025-08-29,367124,Super Lig,Goztepe,Konyaspor,1X,1.237,pending,
2025-08-29,367028,Bundesliga,Hamburger,Sankt Pauli,12,1.325,pending,
2025-08-29,367050,Second League,Austria Klagenfurt,Admira Wacker Modling,2,2.02,pending,
2025-08-29,367108,Ekstraklasa,GKS Katowice,Radomiak Radom,1X,1.363,pending,
2025-08-29,367089,First Division,Dundalk,Kerry,1,1.258,pending,
2025-08-29,367056,Pro League,Cercle Brugge,Saint Truiden,12,1.285,pending,
2025-08-29,367087,Premier Division,Derry City,St Patrick's Athletic,12,1.34,pending,
2025-08-29,367086,Premier Division,Cork City,Waterford,1X,1.408,pending,
2025-08-29,367091,First Division,UC Dublin,Bray Wanderers,12,1.244,pending,
2025-08-29,367090,First Division,Finn Harps,Treaty United,12,1.282,pending,
2025-08-29,367012,League Two,Salford City,Cheltenham,1,1.573,pending,
2025-08-29,367033,Serie A,Lecce,Milan,2,1.735,pending,
2025-08-29,367105,NIFL Premiership,Larne,Ballymena United,1X,1.202,pending,
2025-08-29,367013,Ligue 1,Lens,Brest,12,1.268,pending,
2025-08-29,367088,First Division,Athlone Town,Cobh Ramblers,2,1.544,pending,
2025-08-29,367106,NIFL Premiership,Portadown,Crusaders,1X,1.355,pending,
2025-08-29,367061,First PFL,Septemvri Sofia,Lokomotiv Sofia,2,1.942,pending,
2025-08-29,367036,Serie C,Pro Vercelli,Albinoleffe,1X,1.298,pending,
2025-08-29,367011,Championship,Leicester,Birmingham,12,1.323,pending,
2025-08-29,367158,Premier League,FK Sarajevo,Rudar Prijedor,1,1.104,pending,
2025-08-29,367119,SuperLiga,FK Cukaricki,OFK Belgrade,12,1.247,pending,
2025-08-29,367037,Serie C,Pontedera,Arezzo,2,2.235,pending,
2025-08-29,367111,Primeira Liga,Gil Vicente,Moreirense,12,1.358,pending,
2025-08-29,367118,Campionato Sammarinese,SS San Giovanni,AC Juvenes Dogana,12,1.255,pending,
2025-08-29,367116,Campionato Sammarinese,SP Tre Penne,FC Fiorentino,1,1.54,pending,
